1.68; 0.463; 0.063
1.594; 0.533; 0.064
1.737; 0.493; 0.06
1.637; 0.587; 0.068
1.412; 0.462; 0.06
1.593; 0.545; 0.062
1.656; 0.447; 0.059
1.889; 0.489; 0.066
1.644; 1.032; 0.072
1.577; 0.532; 0.069
1.863; 0.481; 0.069
1.609; 0.638; 0.102
1.562; 0.771; 0.104
1.584; 0.569; 0.077
1.623; 0.595; 0.104
1.683; 0.511; 0.07
1.924; 0.588; 0.071
1.884; 0.512; 0.093
1.408; 0.602; 0.061
1.46; 0.507; 0.073
1.445; 0.457; 0.064
1.638; 0.605; 0.084
1.458; 0.515; 0.062
1.85; 0.522; 0.06
1.518; 0.445; 0.178
1.567; 0.699; 0.062
1.446; 0.753; 0.073
1.6; 0.526; 0.062
1.82; 0.74; 0.076
1.412; 0.436; 0.072
1.424; 0.523; 0.069
1.994; 0.886; 0.077
1.373; 0.57; 0.06
1.663; 0.501; 0.074
1.51; 0.582; 0.104
2.227; 0.498; 0.068
1.834; 0.491; 0.064
1.496; 0.468; 0.071
1.441; 0.519; 0.066
1.511; 0.732; 0.075
1.518; 0.435; 0.082
1.47; 0.51; 0.068
2.302; 0.544; 0.089
1.493; 0.489; 0.062
1.688; 0.468; 0.066
1.487; 0.474; 0.109
1.489; 0.678; 0.064
1.543; 0.597; 0.071
1.892; 0.435; 0.071
1.531; 0.79; 0.065
1.547; 0.848; 0.1
1.77; 0.475; 0.064
2.272; 0.572; 0.059
1.487; 0.457; 0.077
1.454; 0.606; 0.077
1.47; 0.541; 0.071
1.559; 0.518; 0.079
1.714; 0.555; 0.082
1.781; 0.646; 0.083
2.211; 0.601; 0.083
1.979; 0.628; 0.089
2.127; 0.616; 0.085
1.918; 1.053; 0.093
1.931; 0.639; 0.093
2.247; 0.636; 0.09
1.912; 0.644; 0.091
1.915; 0.627; 0.092
2.022; 0.62; 0.486
1.877; 0.639; 0.089
2.182; 0.608; 0.084
1.869; 0.612; 0.087
2.349; 0.637; 0.087
1.926; 0.619; 0.083
1.888; 0.607; 0.083
1.896; 0.597; 0.086
1.854; 0.606; 0.09
1.922; 0.633; 0.089
1.926; 0.642; 0.099
2.14; 0.659; 0.089
1.954; 0.636; 0.087
1.917; 0.652; 0.088
1.925; 0.667; 0.09
1.92; 0.63; 0.088
1.91; 0.643; 0.092
1.943; 0.635; 0.091
2.08; 0.649; 0.088
2.365; 0.694; 0.084
2.299; 0.623; 0.087
1.879; 0.619; 0.088
1.859; 0.601; 0.084
1.869; 0.604; 0.084
1.988; 0.64; 0.099
1.89; 0.615; 0.088
1.995; 0.807; 0.085
1.94; 0.639; 0.094
1.963; 0.633; 0.093
2.597; 0.642; 0.088
1.948; 0.643; 0.083
1.886; 0.645; 0.085
2.28; 0.608; 0.084
