1.563; 0.522; 0.062
2.112; 0.479; 0.067
1.794; 0.624; 0.073
2.474; 0.458; 0.069
2.219; 0.827; 0.068
1.786; 2.364; 0.327
8.46; 3.222; 0.338
7.339; 3.173; 0.325
8.306; 2.405; 0.325
7.629; 2.653; 0.06
1.754; 0.528; 0.097
1.72; 0.503; 0.076
2.207; 1.169; 0.082
1.558; 0.465; 0.069
1.601; 0.627; 0.128
1.367; 0.51; 0.083
1.66; 0.588; 0.069
1.941; 0.462; 0.07
1.495; 0.62; 0.066
1.461; 0.77; 0.071
2.091; 0.477; 0.15
1.731; 0.683; 0.097
1.865; 0.473; 0.061
1.538; 0.522; 0.136
2.011; 0.961; 0.071
1.51; 0.518; 0.066
1.9; 0.454; 0.068
2.077; 0.504; 0.062
2.212; 0.483; 0.064
1.513; 0.499; 0.066
1.895; 0.647; 0.073
1.862; 0.791; 0.063
1.608; 0.89; 0.083
1.548; 0.441; 0.059
1.509; 0.511; 0.079
1.972; 0.611; 0.093
2.321; 0.488; 0.064
1.764; 0.582; 0.063
2.288; 0.546; 0.113
1.43; 0.488; 0.085
1.5; 0.464; 0.087
2.841; 0.831; 0.062
1.4; 0.519; 0.059
1.397; 0.467; 0.06
1.499; 0.426; 0.067
1.443; 0.516; 0.064
1.515; 0.543; 0.058
1.477; 0.511; 0.059
1.465; 0.434; 0.066
1.445; 0.443; 0.07
1.383; 0.451; 0.064
1.517; 0.564; 0.06
1.732; 0.579; 0.068
1.398; 0.479; 0.075
1.449; 0.664; 0.072
1.457; 0.523; 0.082
1.613; 0.458; 0.064
1.441; 0.514; 0.06
1.407; 0.867; 0.103
1.804; 0.572; 0.063
1.627; 0.47; 0.065
1.498; 0.583; 0.095
2.178; 1.333; 0.116
1.501; 0.702; 0.073
2.386; 0.541; 0.07
1.44; 0.521; 0.065
2.16; 0.526; 0.062
1.558; 0.597; 0.117
1.518; 0.518; 0.088
2.407; 0.51; 0.076
1.496; 0.496; 0.061
1.638; 0.45; 0.089
1.865; 1.476; 0.087
1.34; 0.432; 0.065
1.492; 0.476; 0.072
1.517; 0.515; 0.066
1.395; 0.47; 0.061
1.463; 0.552; 0.08
1.878; 0.505; 0.06
1.783; 0.783; 0.079
1.389; 0.491; 0.509
1.593; 0.432; 0.066
1.407; 0.499; 0.088
1.966; 0.889; 0.07
1.408; 0.449; 0.073
1.983; 0.587; 0.061
1.448; 0.434; 0.082
2.418; 0.532; 0.065
1.467; 0.551; 0.082
1.604; 0.498; 0.113
1.811; 0.484; 0.076
2.061; 0.504; 0.069
1.661; 0.432; 0.063
1.73; 0.592; 0.079
1.481; 0.476; 0.064
1.592; 0.513; 0.066
1.571; 0.497; 0.059
1.901; 0.499; 0.077
1.592; 0.535; 0.083
1.903; 0.522; 0.077
